abduction
cabinet
cake,coat,patty
cancer
candy,sugarcoat
cane
cannon,carom
capable,able,adequate_to
car,cable_car
carcass,carcase
carefree
caress
cash
casino
cat,big_cat,cat-o'-nine-tails,caterpillar,computerized_tomography,guy,kat,vomit
cell,cellular_telephone
cellar,basement,root_cellar
cemetery
chair,electric_chair,moderate,president,professorship
champ,champion,chomp
champion,ace,supporter
chance,casual,find,gamble,luck,opportunity,probability,prospect
chaos
charm,appeal,capture,spell
cheer,cheerfulness
child
chin,kuki
chocolate,cocoa
christmas
church,church_service
circle,encircle,lap,r-2,set,traffic_circle
circus
city
cliff
clock
clothing,clothe,dress,invest
clouds,cloud,defile,mottle,obscure,overcast,swarm
clumsy,awkward,bungling,gawky
coarse
coast,seashore,slide
cockroach
coffin
coin,mint
cold,coldness
color,coloring_material,discolor,semblance,tinge
column
comedy,drollery
comfort,consolation,ease,quilt
computer,calculator
concentrate,boil_down,centralize,condense,digest,dressed_ore,reduce
confident,convinced
confused,baffled,broken,confuse,jumble
consoled,comfort
contempt
contents,capacity,content,contentedness,message,subject
context
controlling,control,manipulate,master,operate,see
cook,fudge
cord
cork,bob,phellem
corner,recess
corpse,cadaver
corridor
corrupt,bribe,crooked,defile
cottage,bungalow
couple,copulate,match,pair
cow,overawe
coward
cozy,cosy
crash,barge_in,clang,doss
crime
criminal,condemnable
crisis
crown,pate,peak,pennant
crucify,mortify,savage,torment
crude,blunt,petroleum,unrefined
cruel,barbarous
crushed,beat,break_down,broken,crush,jam,oppress,squash
crutch
cuddle
cuisine
curious
curtains,curtain
custom,custom-made,customs
cut,abridge,baseball_swing,deletion,dilute,edit,geld,hack,ignore,mown,reduce,snub,stinger,swerve,switch_off,trimmed,write_out
cute,cunning
cyclone
dagger
damage,price,wrong
dancer
danger,risk
dark,benighted,black,blue,colored,darkness,iniquity,night
dawn,click
daylight,day
dazzle
dead,abruptly,absolutely,all_in
death,end
debt
deceit,deception,fraudulence,misrepresentation
decompose,disintegrate
decorate,deck,dress
defeated,get_the_better_of,kill
defiant
deformed,change_shape,contort,deform,flex
delayed,check,delay,stay
delight,enchant,joy,please
demon,devil,monster
dentist
depressed,depress,gloomy,lower,press_down
depression,depressive_disorder,low,natural_depression
derelict,abandoned,abandoned_ship,bedraggled,creaky
deserter
desire,hope
despairing,despair
despise,contemn
destroy,demolish
destruction,end
detached,degage,detach
detail,contingent
detest,hate
devil,annoy,hellion,monster,satan
devoted,devote,give
diamond,ball_field,baseball_diamond,rhombus
dignified,dignify,ennoble
dinner
diploma
dirt,crap,scandal,soil
dirty,cheating
disappoint
disaster,calamity,catastrophe
discomfort
discouraged,demoralized,deter,discourage,warn
disdainful,contemptuous
disgusted,disgust
disloyal,unpatriotic
displeased,displease
distressed,disquieted,distress,dysphoric,straiten,stressed
disturb,agitate,interrupt,touch
diver,loon
divorce,disassociate
doctor,doctor_of_the_church,repair,sophisticate
dog,andiron,cad,chase,frank,frump,pawl
doll,dame
dollar
door,doorway
dove,columba,dive,squab
dreadful,atrocious,awful
dream,ambition,pipe_dream
dreary,blue,drab
dress,apparel,attire,full-dress,preen,snip,trim
drown,submerge,swim
dummy,blank,dumbbell
dump,deck,plunge,shit
dustpan
earth,ground,land,worldly_concern
easy,comfortable,easily,slowly
easygoing,cushy,easy
eat,consume,corrode,feed
ecstasy,adam
education,department_of_education
egg,testis
elated,elate
elbow
elegant
elevator
embarrassed,abashed,embarrass,obstruct
embattled,embattle
employment,use
engaged,absorb,betroth,booked,busy,engage,hire,lease,prosecute
engine,locomotive
enjoyment,use
ennui,boredom
enraged,angered,enrage
erotic
errand
event,consequence
evil,malefic
excellence
excitement,agitation,excitation,exhilaration
excuse,apologize,apology
execution,murder,performance
exercise,drill,exert,practice,use
fabric,framework
face,boldness,confront,expression,font,front,grimace,side
failure,bankruptcy
fall,accrue,capitulation,decrease,descend,descent,drop,hang,precipitate,spill,twilight
fame
family,class,kin,syndicate
famous,celebrated
fantasy,illusion
farm,grow
fascinate,capture,intrigue
fat,adipose_tissue,fatness,fatten,fatty
father,beget,church_father,don,forefather,founder
fatigued,exhausted,tire
fault,blame,defect,demerit,mistake
favor,party_favor,prefer,privilege
fear,concern,reverence
fearful,awful,cowardly
feeble,decrepit,faint
festive,gay
fever
field,airfield,battlefield,discipline,plain,playing_field,sphere
fight,battle,competitiveness,contend,crusade
filth,dirt,obscenity
finger,feel
fire,ardor,arouse,burn,displace,fuel,open_fire
fireworks,firework
fish,pisces
flabby,soft
flag,ease_up,iris,masthead,pin,sag
flirt,chat_up,coquette,dally
flood,deluge,flood_tide
flower,bloom
foam
food
foot,animal_foot,foundation,infantry,metrical_foot
fork,branch,branching,crotch,pitchfork
foul,afoul,cheating,clog,cruddy,dirty,disgusting,fetid,filthy,pollute
fragrance,aroma,bouquet
fraud,imposter
free,absolve,barren,complimentary,detached,dislodge,exempt,loose,release,rid,spare,unblock
freedom,exemption
friend,acquaintance,ally,supporter
friendly
frigid,arctic,cold
frog
frustrated,defeated,thwart,torment
fun,playfulness
funeral
fungus
fur
game,bet_on,crippled,plot
gangrene,necrose,necrosis
garbage,drivel
garden
garment,dress
garter
gender,sex
gentle,aristocratic,docile,easy,ennoble,pacify
germs,germ,microbe,source
gift,endow,endowment,give,giving
girl,daughter,female_child,girlfriend
glacier
glamour,glamor,hex
glass,field_glass,glaze,looking_glass,methamphetamine
gloom
glory,aura
god,deity,idol
gold,amber,aureate
golfer
good,adept,beneficial,commodity,dear,dependable,effective,estimable,full,thoroughly,well
gossip,chew_the_fat,chitchat,dish_the_dirt
graduate,alumnus,calibrate
grass,denounce,eatage,pot,supergrass
grateful
greed,avarice
green,fleeceable,greens,k,park
greet
grenade
grief
grime,dirt,dirty
grin,smile
gripe
guillotine,closure_by_compartment
guilty
gun,accelerator,artillery,grease-gun,gunman
gymnast
habit,substance_abuse
hairdryer
hairpin
hamburger,ground_beef
hammer,forge,mallet,malleus
hand,bridge_player,handwriting,hired_hand,pass
handicap,disability,disable,hindrance
handsome,big,fine-looking
haphazard
happy,felicitous,glad
hard,arduous,difficult,heavily,intemperate,unvoiced
hardship,adversity,asperity
hat
hate
hatred,hate
hawk,clear_the_throat,mortarboard,peddle
hay
headache,concern
headlight
heal,bring_around,mend
health
heart,affection,center,kernel
heaven,eden
hell,sin
helpless
heroin
hide,obscure,shroud
highway
hinder,back,handicap,impede,obstruct
history
hit,collision,murder,reach,score,shoot,strike,stumble
holiday,vacation
home,base,dwelling,family,home_plate
honest,dependable,good
honey,beloved
honor,award,respect
hooker,streetwalker
hope,promise
hopeful,aspirant,bright
horror,repugnance
horse,cavalry,knight,sawhorse
hospital
hostage
hostile
hotel
house,family,firm,sign_of_the_zodiac,theater
hug,embrace
humane,humanist
humble,base,humiliate
humiliate
humor,liquid_body_substance,temper,wit
hungry,athirst
hurricane
hurt,ache,damage,detriment,distress,injury,pain,suffer,suffering
hydrant,water_faucet
icebox,refrigerator
idea,estimate,mind,theme
identity
idiot
idol,paragon
ignorance
illness
imagine,think
immature,green,unfledged,young
immoral,base
impair,mar
impotent
impressed,affect,impress,print,shanghai
improve,better
incentive,bonus
indifferent,apathetic,deaf,immaterial,inert
industry,diligence
infant,baby
infatuation,puppy_love
infection,contagion
inferior,deficient,subscript
inhabitant
injury,wound
ink
innocent,barren,impeccant
insane,harebrained
insect,worm
insecure
insolent,audacious,impudent
inspire,cheer,inhale,prompt,revolutionize
inspired,cheer,divine,inhale,inspire,prompt,revolutionize
insult,abuse,diss
intellect,intellectual,mind,reason
intercourse,sexual_intercourse
interest,concern,matter_to,pastime,sake
intimate,confidant,cozy,familiar,inner,suggest
intruder
invader
invest,endow,induct
iron,cast-iron
irritate,annoy
item,detail,token
jail,imprison
jealousy
jelly,gelatin,jellify
jewel,bejewel
joke,antic,jest
jolly,gay,jolly_boat,kid,reasonably
journal,daybook,diary
joy,gladden,rejoice
joyful,elated
jug,imprison
justice,department_of_justice,judge
kerchief
kerosene
ketchup,catsup
kettle,kettle_hole
key,cardinal,identify,keystone,samara,winder
kick,bang,complain,gripe,kick_back,recoil
kids,child,kid,kyd,pull_the_leg_of
killer,cause_of_death,killer_whale
kind
kindness,forgivingness
king,baron
kiss,snog
kitten
knife,tongue
knot,nautical_mile,ravel,slub
knowledge,cognition
lake
lamb
lamp
lantern
laughter,laugh
lavish
lawn
lawsuit
lazy,faineant
leader,drawing_card
learn,determine,memorize,teach
legend,caption
leisurely,at_leisure,easy
leprosy
lesbian
letter
liberty,autonomy,familiarity,shore_leave
lice,bird_louse,louse,plant_louse,worm
lie,dwell,lie_down
life,animation,biography,life_sentence,liveliness
lightbulb,light_bulb
lighthouse,beacon
lightning
limber
lion,leo
listless,dispirited
lively,alert,bouncy,full_of_life
locker,cabinet,footlocker
loneliness,aloneness,forlornness
lonely,alone,lone
loser,failure
lost,baffled,bemused,confused,doomed,fall_back,helpless,lose,misplace,miss,suffer
lottery
louse,bird_louse,plant_louse,worm
love,beloved,sexual_love,sleep_together
loved,love,sleep_together
loyal,firm,patriotic
lucky,golden
lump,ball,collocate,hunk,lout,swelling
luscious,delectable,juicy
lust,crave,lecherousness
luxury,lavishness
machine,car
mad,brainsick,delirious,harebrained,huffy
madman,lunatic
maggot
magical,charming
mail,chain_mail
malaria
malice,malevolence
man,homo,serviceman,valet,world
mangle,maul,mutilate
maniac,lunatic,maniacal
manner
mantel
manure
market,commercialize,grocery_store,marketplace
massacre,slaughter
masterful,consummate
masturbate
material,corporeal,fabric,substantial
measles
medicine,medicate,music
meek
melody,tune
memories,memory
memory
menace,endanger
merry,alert,gay
messy
metal,alloy,metallic,metallic_element
method,method_acting
mighty
mildew,mold
milk
millionaire
mind,beware,heed,judgment,take_care,thinker
miracle
mischief,maleficence
misery
mistake,err,error
mobility
modest,humble,meek,minor
mold,cast,determine,mildew,model,shape
moment,consequence,here_and_now
money
month,calendar_month
moody,dark
moral
morbid,diseased,ghoulish
morgue
mosquito
mother,beget
mountain,batch
movie
mucus
muddy,boggy,cloudy,dirty,mucky
muffin
murderer
muscular,brawny,mesomorphic
museum
mushroom
music
mutation,mutant
mutilate,mangle
mystic,mysterious
naked,bare
name,appoint,diagnose,identify,list,mention
narcotic
nasty,cruddy,filthy
natural,lifelike
nature
nectar,ambrosia
needle,acerate_leaf,phonograph_needle
neglect,disregard,fail,negligence
nervous,aflutter,anxious,skittish
neurotic
news,news_program,newsworthiness
nice,courteous,dainty,decent
nightmare
nipple
noisy
nonchalant,casual
nonsense,folderal
noose,snare
nourish,nutrify
nude,bare
nuisance,pain
nun,conical_buoy
nurse,breastfeed,harbor,nanny
nursery,greenhouse
obesity,fleshiness
obey
obnoxious,objectionable
obscene,abhorrent,lewd
obsession,compulsion
ocean
odd,curious,leftover
offend,hurt,pique,shock,transgress
office,agency,function,position
opinion,impression,public_opinion
optimism
option,choice
orchestra
orgasm
outdoors,outside
outrage,desecrate,indignation,rape,scandal,scandalization,shock
outstanding,great
overcast,cloud-covered,cloudiness
overwhelmed,overpower,overwhelm,submerge
owl
pain,annoyance,trouble
paint,key,rouge
palace
pamphlet,booklet,tract
pancakes,pancake
panic
paper,composition,newspaper,wallpaper
paradise,eden
paralysis
part,character,contribution,depart,function,partially,region,separate,share
party
passage,enactment,passing
passion,heat,love,mania,rage
pasta
patent,apparent
patient,affected_role
patriot
peace
penalty,punishment
pencil
penis
penthouse
people,citizenry,multitude
perfection,paragon
perfume,aroma
person
pervert,corrupt,twist
pest,plague
pet,darling,favored,positron_emission_tomography
phase
pie,proto-indo_european
pig,bull,devour,farrow,hog,pig_bed,slob
pillow
pinch,apprehension,crimp,emergency,nip,pilfer,top,touch
pistol
pity,commiseration,compassion,feel_for
pizza
plain,apparent,complain,homely,knit,obviously
plane,airplane,flat
plant,establish,implant
pleasure,joy
poetry
poison
politeness
pollute
poster,bill_poster,post_horse
poverty
power,ability,baron,exponent,might,office,world_power
powerful,brawny,herculean,knock-down,mighty,potent
prairie
present,award,confront,deliver,give,introduce,portray,salute,show,stage
pressure,atmospheric_pressure,blackmail,coerce,imperativeness,press
prestige
pretty,reasonably
prick,asshole,cock,goad,incision,prick_up,prickle,sting
pride
priest
prison
privacy
profit,net_income
progress,advance,advancement,build_up
promotion,forwarding
protected,protect
proud,gallant
pungent,barbed
punishment
puppy
pus,plutonium
putrid
python
quality,choice,timbre
quarrel
quart
queen,fagot,king,tabby
quick,agile,flying,immediate,promptly
quiet,calm,hushed,lull,placid,quieten,quietly,repose,silence,tranquillity
rabbit,lapin
rabies
radiant,beaming
radiator
radio,radio_receiver
rage,fad,fury,ramp
rain
rainbow
rancid,sour
rape
rat,denounce,fink,informer,rotter,scab
rattle
razor
red,bolshevik,crimson,loss
refreshment
regretful
rejected,disapprove,jilted,refuse,reject,resist,rule_out
relaxed,loosen,relax,slack
repentant,penitent
reptile
rescue
resent,begrudge
reserved,allow,reserve
respect,deference,esteem,obedience,regard
respectful
restaurant
reunion
reverent,godly
revolt,disgust,rebellion
revolver,revolving_door
reward,advantage,honor,reinforce,wages
riches,rich_people,wealth
ridicule,derision
rifle,plunder
rigid,fixed,inflexible
riot,belly_laugh,carouse,orgy,rioting
river
roach,cockroach,r-2
robber
rock,rock_'n'_roll,rock_candy
rollercoaster
romantic,amatory,quixotic,romanticist
rotten,decayed,icky
rough,approximate,boisterous,crude,grating,harsh,pugnacious,rocky,rough_in,roughly,uncut
rude,crude,ill-bred,ill-mannered,natural,uncivil
runner,ball_carrier,base_runner,smuggler,stolon
rusty,hoary,out_of_practice,rust
sad,deplorable
safe,condom,dependable
sailboat
saint,canonize,enshrine,ideal
salad
salute,toast
sapphire,azure
satisfied,meet,quenched,satisfy
save,deliver,keep_open,salvage,spare,write
savior,jesus
scalding,blister,scald
scandal
scapegoat
scar,scratch
scared,daunt,frighten,frightened,scar
scholar,learner
scissors,scissor
scorching,char,scorch,sear
scorn,contemn,contempt,reject
scornful,contemptuous
scorpion,scorpio
scream,belly_laugh,screech,shout,yell
scum,trash
scurvy,abject
seasick,airsick
seat,buttocks,induct
secure,batten,dependable,fasten,guarantee,impregnable,plug,procure
selfish
sentiment,opinion
serious,dangerous,good,unplayful
severe,austere,dangerous,hard
sex,arouse,sexual_activity
sexy,aphrodisiac
shadow,apparition,darkness,tail,trace
shamed,discredited,dishonor,feign,guilty,shame,simulate
shark
sheltered,shelter
ship,embark,transport
shotgun
shriek,scream,screech
shy,diffident
sick,brainsick,disgusted,ghastly,ill,nauseated,pale,vomit
sickness,illness,nausea
silk
silly,airheaded,cockamamie,pathetic,punch-drunk
sin,drop_the_ball,sine
sinful,extraordinary,iniquitous
sissy,effeminate
skeptical,disbelieving,doubting
skijump
skull
sky,flip
skyscraper
slap,bang,smack
slaughter,butcher,massacre,thrashing
slave
sleep,rest
slime,sludge
slow,behind,boring,decelerate,dense,dull,slowly
slum
slush,slosh,splash
smallpox
smooth,fluent,legato,placid,polish,politic
snake,hydra
snob
snow,bamboozle,coke
snuggle,cuddle,nestle
social,sociable
soft,balmy,cushy,delicate,easy,gentle,indulgent,piano,voiced
solemn,earnest,grave
song,birdcall,sung
soothe,comfort
sour,dark,false,off,sourness
space,distance,outer_space,quad
spanking,alert,spank
sphere,celestial_sphere,sector
spider
spirit,emotional_state,heart,intent,liveliness
spouse
spray,atomizer
spring,bounce,form,give,jump,leap
square,feather,hearty,public_square,squarely,straight
stagnant,dead
star,ace,asterisk,headliner,leading,star_topology
startled,startle
starving,crave,starvation,starve,starved
statue
stench,malodor
stiff,besotted,cadaver,firm,potent,rigid,starchy,stiffly
stink,malodor,reek
stomach,abdomen,digest
stool,fecal_matter,toilet
storm,ramp
stove,stave
street
stress,tension,try
strong,firm,hard,impregnable,potent,solid
stupid,dazed,unintelligent
subdued,dim,hushed,low-key,mortify,overcome,repress,soft,subordinate,suppress,tame
success,achiever
suffocate,gag,smother
sugar,boodle,carbohydrate
suicide
sun,sunday,sunlight
sunlight
sunrise,dawn
sunset
surgery,operating_room,operation
surprised,storm,surprise
suspicious,fishy,leery
swamp,deluge
sweetheart,smasher
swift,fleet,western_fence_lizard
swimmer
syphilis
table,board,mesa,postpone
talent,endowment
tamper,meddle,tamp
tank,cooler,tank_car
taste,preference,sample,smack
taxi,cab
teacher
tease,coquette
tender,affectionate,attendant,bid,crank,offer,sensitive
tennis
tense,strain
termite
terrible,atrocious,awful,frightful,severe
terrific,fantastic
terrified,panicky,terrify
terrorist
thankful,grateful
theory,hypothesis
thermometer
thief
thorn,irritant,spine
thought,idea,intend,opinion,remember,think,thinking
thoughtful,heedful
thrill,bang,exhilarate,frisson,shudder
tidy,goodly,kempt
time,clock,clock_time,fourth_dimension,meter,prison_term
timid,diffident,faint
tobacco
tomb,grave
tool,cock,creature,instrument,joyride
toothache
tornado,crack
torture,agony,anguish,distortion,torment
tower,column,loom,tugboat
toxic
toy,dally,miniature,play,plaything,toy_dog
tragedy,calamity
traitor,double-crosser
trash,folderol,methamphetamine,pan,rubbish
trauma,injury
travel,change_of_location,locomotion
treasure,care_for,gem,prize
treat,cover,dainty,process,regale
tree,corner
triumph,exuberate,gloat,prevail,victory,wallow
triumphant,exultant
trophy
trouble,disturb,fuss,perturb,trouble_oneself,worry
troubled,disruptive,disturb,perturb,trouble,trouble_oneself
truck,hand_truck
trumpet,cornet
trunk,luggage_compartment,proboscis,torso
trust,believe,confidence,entrust,faith,hope,reliance
truth,accuracy
tumor
tune
twilight,dusky
ugly,atrocious,despicable,surly
ulcer
umbrella
unfaithful,faithless
unhappy,dysphoric,infelicitous
unit,unit_of_measurement,whole
untroubled,secure
upset,broken,disorder,disquieted,disturb,disturbance,overturn,overturned,swage
urine
useful,utilitarian
useless
utensil
vacation
vagina
valentine
vampire
vandal
vanity,amour_propre,conceit,dressing_table
vehicle,fomite
venom,malice
vest,invest,singlet
victim
victory
vigorous
village,greenwich_village
violent,crimson,fierce
violin
virgin,pure,virgo
virtue,merit
vision,imagination,sight
volcano,vent
vomit,emetic
voyage,ocean_trip
wagon,beach_wagon,big_dipper,police_van
war
warmth,affectionateness,heat,warmheartedness
wasp
waste,barren,consume,godforsaken,lay_waste_to,neutralize,pine_away,thriftlessness
watch,determine,lookout,vigil
water,body_of_water,urine,water_system
waterfall
wealthy,affluent
weapon
weary,aweary,tire
wedding,marriage,marry
whistle,pennywhistle
white,ashen,blank,egg_white,flannel,whiten
whore,prostitute
wicked,arch,disgusting,severe,sinful
wife
win,acquire,gain,succeed,winnings
windmill
window,windowpane
wine
wink,blink,blink_of_an_eye,flash
wise,fresh,judicious,knowing
wish,regard
wit,brain,wag
woman,charwoman,womanhood
wonder,curiosity
world,earth,global,populace,universe,worldly_concern
wounds,hurt,injure,wound
writer
yacht
yellow,chicken,jaundiced,scandalmongering
young,new,unseasoned,youthful
youth,young,young_person
zest,gusto,nip
